escenario,psi0_deg,rho0_m,z0_m,T1_sim,delta_z_sim_m,J_sim_gammaRef
z0fixed,42.0000,90.0404,100.0000,0.959726,1.139496,0.029511
z0fixed,43.0000,93.2515,100.0000,0.960921,1.144793,0.029737
z0fixed,44.0000,96.5689,100.0000,0.962162,1.150765,0.030022
z0fixed,45.0000,100.0000,100.0000,0.963448,1.157409,0.030366
z0fixed,46.0000,103.5530,100.0000,0.964780,1.164714,0.030766
z0fixed,47.0000,107.2369,100.0000,0.966156,1.172677,0.031220
z0fixed,48.0000,111.0613,100.0000,0.967574,1.181290,0.031728
z0fixed,49.0000,115.0368,100.0000,0.969031,1.190541,0.032287
z0fixed,50.0000,119.1754,100.0000,0.970523,1.200421,0.032896
z0fixed,51.0000,123.4897,100.0000,0.972044,1.210919,0.033554
z0fixed,52.0000,127.9942,100.0000,0.973587,1.222024,0.034262
z0fixed,53.0000,132.7045,100.0000,0.975142,1.233720,0.035017
z0fixed,54.0000,137.6382,100.0000,0.976698,1.245993,0.035823
z0fixed,55.0000,142.8148,100.0000,0.978238,1.258826,0.036678
z0fixed,56.0000,148.2561,100.0000,0.979745,1.272202,0.037588
z0fixed,57.0000,153.9865,100.0000,0.981194,1.286099,0.038554
z0fixed,58.0000,160.0335,100.0000,0.982560,1.300496,0.039582
z0fixed,59.0000,166.4279,100.0000,0.983807,1.315368,0.040677
z0fixed,60.0000,173.2051,100.0000,0.984899,1.330689,0.041849
z0fixed,61.0000,180.4048,100.0000,0.985787,1.346428,0.043107
z0fixed,62.0000,188.0726,100.0000,0.986419,1.362555,0.044463
z0fixed,63.0000,196.2611,100.0000,0.986733,1.379035,0.045933
z0fixed,64.0000,205.0304,100.0000,0.986655,1.395828,0.047534
z0fixed,65.0000,214.4507,100.0000,0.986105,1.412894,0.049287
z0fixed,66.0000,224.6037,100.0000,0.984986,1.430187,0.051217
z0fixed,67.0000,235.5852,100.0000,0.983191,1.447659,0.053353
z0fixed,68.0000,247.5087,100.0000,0.980597,1.465257,0.055731
z0fixed,69.0000,260.5089,100.0000,0.977064,1.482922,0.058389
z0fixed,70.0000,274.7477,100.0000,0.972435,1.500594,0.061376
z0fixed,71.0000,290.4211,100.0000,0.966528,1.518206,0.064749
z0fixed,72.0000,307.7684,100.0000,0.959139,1.535689,0.068574
z0fixed,73.0000,327.0853,100.0000,0.950035,1.552965,0.072931
z0fixed,74.0000,348.7414,100.0000,0.938950,1.569956,0.077917
z0fixed,75.0000,373.2051,100.0000,0.925582,1.586579,0.083648
z0fixed,76.0000,401.0781,100.0000,0.909582,1.602745,0.090270
z0fixed,77.0000,433.1476,100.0000,0.890554,1.618363,0.097961
z0fixed,78.0000,470.4630,100.0000,0.868039,1.633341,0.106946
z0fixed,79.0000,514.4554,100.0000,0.841505,1.647584,0.117515
z0fixed,80.0000,567.1282,100.0000,0.810340,1.660997,0.130043
z0fixed,81.0000,631.3752,100.0000,0.773830,1.673484,0.145035
z0fixed,82.0000,711.5370,100.0000,0.731138,1.684952,0.163177
z0fixed,83.0000,814.4346,100.0000,0.681286,1.695314,0.185444
z0fixed,84.0000,951.4364,100.0000,0.623116,1.704484,0.213280
z0fixed,85.0000,1143.0052,100.0000,0.555258,1.712386,0.248934
